acousticness,analysis_url,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.0167,https://api.spotify.com/v1/audio-analysis/24Yi9hE78yPEbZ4kxyoXAI,0.77,176840.0,0.724,24Yi9hE78yPEbZ4kxyoXAI,0.0107,8.0,0.353,-5.484,1.0,0.0495,121.975,4.0,https://api.spotify.com/v1/tracks/24Yi9hE78yPEbZ4kxyoXAI,audio_features,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,0.898
0.215,https://api.spotify.com/v1/audio-analysis/3a1lNhkSLSkpJE4MSHpDu9,0.63,220293.0,0.804,3a1lNhkSLSkpJE4MSHpDu9,0.0,6.0,0.253,-4.183,1.0,0.0363,123.146,4.0,https://api.spotify.com/v1/tracks/3a1lNhkSLSkpJE4MSHpDu9,audio_features,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,0.492
0.0353,https://api.spotify.com/v1/audio-analysis/0vbtURX4qv1l7besfwmnD8,0.664,197933.0,0.714,0vbtURX4qv1l7besfwmnD8,8.42e-06,7.0,0.0843,-6.645,0.0,0.111,101.969,4.0,https://api.spotify.com/v1/tracks/0vbtURX4qv1l7besfwmnD8,audio_features,spotify:track:0vbtURX4qv1l7besfwmnD8,0.71
0.588,https://api.spotify.com/v1/audio-analysis/5Nm9ERjJZ5oyfXZTECKmRt,0.418,172724.0,0.42,5Nm9ERjJZ5oyfXZTECKmRt,6.39e-05,0.0,0.11,-6.444,1.0,0.0414,84.094,4.0,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt,audio_features,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,0.184
0.0038,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,0.532,247427.0,0.783,0nrRP2bk19rLc0orkWPQk2,0.0012,2.0,0.161,-5.697,1.0,0.0523,124.08,4.0,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,audio_features,spotify:track:0nrRP2bk19rLc0orkWPQk2,0.643
0.0912,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,0.798,219947.0,0.675,3HVWdVOQ0ZA45FuZGSfvns,0.0,6.0,0.0894,-5.041,1.0,0.0442,101.956,4.0,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,audio_features,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,0.842
0.106,https://api.spotify.com/v1/audio-analysis/3QGsuHI8jO1Rx4JWLUh9jd,0.444,187973.0,0.819,3QGsuHI8jO1Rx4JWLUh9jd,0.0,10.0,0.107,-4.078,0.0,0.341,82.695,4.0,https://api.spotify.com/v1/tracks/3QGsuHI8jO1Rx4JWLUh9jd,audio_features,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,0.747
0.229,https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ,0.717,207320.0,0.653,3e9HZxeyfWwjeyPAMmWSSQ,0.0,1.0,0.101,-5.634,1.0,0.0658,106.966,4.0,https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ,audio_features,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,0.412
0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667.0,0.609,32OlwWuMpZ6b0aN2RZOeMS,8.15e-05,0.0,0.0344,-7.223,1.0,0.0824,114.988,4.0,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.928
0.0654,https://api.spotify.com/v1/audio-analysis/2tpWsVSb9UEmDRxAl1zhX1,0.664,257267.0,0.705,2tpWsVSb9UEmDRxAl1zhX1,0.0,1.0,0.118,-4.972,0.0,0.0382,122.016,4.0,https://api.spotify.com/v1/tracks/2tpWsVSb9UEmDRxAl1zhX1,audio_features,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,0.477
