,artist_name,track_name,track_id,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
69,Elvis Costello & The Attractions,You Belong To Me - 2021 Remaster,7LjcmjjxyEumIx8AOBVUij,30,0.0383,https://api.spotify.com/v1/audio-analysis/7LjcmjjxyEumIx8AOBVUij,0.408,143120.0,0.872,5.14e-05,7.0,0.0515,-6.09,1.0,0.0522,172.084,4.0,https://api.spotify.com/v1/tracks/7LjcmjjxyEumIx8AOBVUij,audio_features,spotify:track:7LjcmjjxyEumIx8AOBVUij,0.728
70,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),01K4zKU104LyJ8gMb7227B,86,0.817,https://api.spotify.com/v1/audio-analysis/01K4zKU104LyJ8gMb7227B,0.606,258813.0,0.377,0.0,0.0,0.154,-9.455,1.0,0.0275,101.96,4.0,https://api.spotify.com/v1/tracks/01K4zKU104LyJ8gMb7227B,audio_features,spotify:track:01K4zKU104LyJ8gMb7227B,0.446
71,Saliva,Spyhunter - 2021 Version,646K2dKvCr8Nqy3XaSRHHM,29,0.000118,https://api.spotify.com/v1/audio-analysis/646K2dKvCr8Nqy3XaSRHHM,0.423,262152.0,0.94,0.000375,5.0,0.322,-4.274,0.0,0.0605,179.979,4.0,https://api.spotify.com/v1/tracks/646K2dKvCr8Nqy3XaSRHHM,audio_features,spotify:track:646K2dKvCr8Nqy3XaSRHHM,0.694
72,Swedish House Mafia,Moth To A Flame (with The Weeknd),2gpWyfu7eZ01zzncHpxOtA,93,0.00279,https://api.spotify.com/v1/audio-analysis/2gpWyfu7eZ01zzncHpxOtA,0.542,234000.0,0.659,0.0,8.0,0.105,-7.289,1.0,0.0389,120.122,4.0,https://api.spotify.com/v1/tracks/2gpWyfu7eZ01zzncHpxOtA,audio_features,spotify:track:2gpWyfu7eZ01zzncHpxOtA,0.109
73,Elvis Costello & The Attractions,Living In Paradise - 2021 Remaster,3EWaYA9cYxeUHMaDMWqi0K,29,0.318,https://api.spotify.com/v1/audio-analysis/3EWaYA9cYxeUHMaDMWqi0K,0.643,227080.0,0.714,6.56e-06,2.0,0.299,-6.128,1.0,0.0618,130.643,4.0,https://api.spotify.com/v1/tracks/3EWaYA9cYxeUHMaDMWqi0K,audio_features,spotify:track:3EWaYA9cYxeUHMaDMWqi0K,0.962
74,Drake,Girls Want Girls (with Lil Baby),37Nqx7iavZpotJSDXZWbJ3,87,0.181,https://api.spotify.com/v1/audio-analysis/37Nqx7iavZpotJSDXZWbJ3,0.767,221980.0,0.438,0.0,7.0,0.142,-8.726,0.0,0.29,86.975,4.0,https://api.spotify.com/v1/tracks/37Nqx7iavZpotJSDXZWbJ3,audio_features,spotify:track:37Nqx7iavZpotJSDXZWbJ3,0.381
75,Elvis Costello & The Attractions,Hand In Hand - 2021 Remaster,0U9ZdBYiBK6pstkX5e70Yj,29,0.233,https://api.spotify.com/v1/audio-analysis/0U9ZdBYiBK6pstkX5e70Yj,0.5,156653.0,0.681,0.0,2.0,0.0623,-7.053,1.0,0.0478,140.564,4.0,https://api.spotify.com/v1/tracks/0U9ZdBYiBK6pstkX5e70Yj,audio_features,spotify:track:0U9ZdBYiBK6pstkX5e70Yj,0.511
76,Doja Cat,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,88,0.315,https://api.spotify.com/v1/audio-analysis/0W6I02J9xcqK8MtSeosEXb,0.912,138293.0,0.655,3.39e-05,8.0,0.0894,-6.029,0.0,0.162,91.942,4.0,https://api.spotify.com/v1/tracks/0W6I02J9xcqK8MtSeosEXb,audio_features,spotify:track:0W6I02J9xcqK8MtSeosEXb,0.793
77,Lika Morgan,IQ Doesn't Matter,4hHXobx3UlSsAYsFBEHKDL,0,0.128,https://api.spotify.com/v1/audio-analysis/4hHXobx3UlSsAYsFBEHKDL,0.898,147585.0,0.745,0.0,0.0,0.142,-3.817,0.0,0.195,117.935,4.0,https://api.spotify.com/v1/tracks/4hHXobx3UlSsAYsFBEHKDL,audio_features,spotify:track:4hHXobx3UlSsAYsFBEHKDL,0.791
78,Taylor Swift,Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,87,0.00108,https://api.spotify.com/v1/audio-analysis/4OAuvHryIVv4kMDNSLuPt6,0.516,223093.0,0.777,1.62e-06,1.0,0.0761,-4.908,0.0,0.0375,125.047,4.0,https://api.spotify.com/v1/tracks/4OAuvHryIVv4kMDNSLuPt6,audio_features,spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.408
79,Lika Morgan,All That She Wants,5ijKW7XFTgiRsqc5Af9sVz,0,0.0925,https://api.spotify.com/v1/audio-analysis/5ijKW7XFTgiRsqc5Af9sVz,0.865,177049.0,0.825,3.66e-05,1.0,0.0682,-4.831,0.0,0.107,122.029,4.0,https://api.spotify.com/v1/tracks/5ijKW7XFTgiRsqc5Af9sVz,audio_features,spotify:track:5ijKW7XFTgiRsqc5Af9sVz,0.492
80,Travis Scott,ESCAPE PLAN,4R67rQNSbbsR4TdUVOIdez,88,0.00207,https://api.spotify.com/v1/audio-analysis/4R67rQNSbbsR4TdUVOIdez,0.839,149610.0,0.506,0.0,5.0,0.13,-6.714,0.0,0.133,154.12,4.0,https://api.spotify.com/v1/tracks/4R67rQNSbbsR4TdUVOIdez,audio_features,spotify:track:4R67rQNSbbsR4TdUVOIdez,0.44
81,Project 86,This Time of Year,6ofgV2a74qMSmoQohewUU6,22,0.00128,https://api.spotify.com/v1/audio-analysis/6ofgV2a74qMSmoQohewUU6,0.488,165573.0,0.876,0.374,0.0,0.0933,-4.348,0.0,0.0646,107.566,3.0,https://api.spotify.com/v1/tracks/6ofgV2a74qMSmoQohewUU6,audio_features,spotify:track:6ofgV2a74qMSmoQohewUU6,0.285
82,Adele,Easy On Me,46IZ0fSY2mpAiktS3KOqds,91,0.578,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,0.604,224695.0,0.366,0.0,5.0,0.133,-7.519,1.0,0.0282,141.981,4.0,https://api.spotify.com/v1/tracks/46IZ0fSY2mpAiktS3KOqds,audio_features,spotify:track:46IZ0fSY2mpAiktS3KOqds,0.13
83,Calippo,My Everything,2VDNei6NMhXIc69OK8jKIh,0,0.158,https://api.spotify.com/v1/audio-analysis/2VDNei6NMhXIc69OK8jKIh,0.735,178080.0,0.811,2.82e-06,11.0,0.0946,-4.061,0.0,0.311,125.048,4.0,https://api.spotify.com/v1/tracks/2VDNei6NMhXIc69OK8jKIh,audio_features,spotify:track:2VDNei6NMhXIc69OK8jKIh,0.233
84,LISA,MONEY,7hU3IHwjX150XLoTVmjD0q,92,0.161,https://api.spotify.com/v1/audio-analysis/7hU3IHwjX150XLoTVmjD0q,0.831,168228.0,0.554,6.12e-05,1.0,0.152,-9.998,0.0,0.218,140.026,4.0,https://api.spotify.com/v1/tracks/7hU3IHwjX150XLoTVmjD0q,audio_features,spotify:track:7hU3IHwjX150XLoTVmjD0q,0.396
85,Calippo,Somebody Else,7faiWXEGxwiuv4YqmF8OJv,0,0.156,https://api.spotify.com/v1/audio-analysis/7faiWXEGxwiuv4YqmF8OJv,0.764,175833.0,0.893,0.000963,6.0,0.112,-3.721,0.0,0.0589,126.025,4.0,https://api.spotify.com/v1/tracks/7faiWXEGxwiuv4YqmF8OJv,audio_features,spotify:track:7faiWXEGxwiuv4YqmF8OJv,0.577
86,Oliver Tree,Life Goes On,0eu4C55hL6x29mmeAjytzC,93,0.186,https://api.spotify.com/v1/audio-analysis/0eu4C55hL6x29mmeAjytzC,0.7,161803.0,0.49,0.0,0.0,0.117,-5.187,1.0,0.076,79.982,4.0,https://api.spotify.com/v1/tracks/0eu4C55hL6x29mmeAjytzC,audio_features,spotify:track:0eu4C55hL6x29mmeAjytzC,0.569
